GeneID	B14.5.new.bam	B15.5.new.bam	B17.5.new.bam	B20.new.bam	B34.new.bam	C14.5.new.bam	C15.5.new.bam	C17.5.new.bam	C20.new.bam	C34.new.bam
MSTRG.426	3	0	0	0	0	0	1	0	1	0
MSTRG.427	7	5	1	10	9	0	7	2	16	5
MSTRG.428	1088	1297	1401	1182	944	1269	947	740	866	402
MSTRG.429	307	294	78	102	72	101	176	98	112	158
MSTRG.430	2590	1730	1064	955	1198	1995	1790	1342	1297	1370
MSTRG.432	776	563	464	432	216	700	431	460	384	286
MSTRG.433	2	2	3	3	0	0	2	0	0	0
MSTRG.434	10	6	4	8	4	10	9	4	10	7
MSTRG.435	3219	3749	4629	5737	4255	4035	3944	3786	5006	2832
MSTRG.436	1251	1058	895	1116	1075	985	1063	1504	1462	1435
MSTRG.437	1233	1498	733	1144	1018	1021	1291	1487	1322	765
MSTRG.438	1	1	1	0	0	1	0	0	3	0
MSTRG.441	15	19	9	2	11	5	6	5	10	5
MSTRG.443	0	0	0	0	0	1	0	0	0	0
MSTRG.444	7	13	14	12	40	9	9	13	11	77
MSTRG.445	450	449	496	542	1043	589	425	237	495	1146
MSTRG.446	0	4	3	13	6	9	4	2	10	2
MSTRG.447	23	38	27	23	12	17	29	19	14	14
MSTRG.448	0	1	0	0	0	0	0	0	0	0
MSTRG.449	107	135	206	305	989	251	226	219	519	3214
MSTRG.452	10	21	18	25	51	23	18	8	30	352
MSTRG.453	698	700	531	484	750	639	642	699	617	1009
MSTRG.454	120	174	211	337	304	182	246	200	420	93
MSTRG.455	0	2	2	3	1	1	1	2	0	1
MSTRG.456	5190	4526	2916	3505	1635	3617	3649	3144	3449	1413
MSTRG.457	1	0	1	2	0	1	1	0	0	1
MSTRG.458	134	130	150	128	186	163	182	111	204	194
MSTRG.459	854	684	469	352	170	548	526	529	404	194
MSTRG.460	49	45	41	36	66	56	43	15	64	70
MSTRG.461	979	847	570	506	420	747	726	497	692	605
MSTRG.463	18	4	140	41	52	109	7	19	2	13
MSTRG.464	18	16	17	17	35	21	25	14	21	30
MSTRG.466	249	314	302	475	561	255	243	278	274	295
MSTRG.467	34	33	19	16	8	25	18	10	16	29
MSTRG.468	64	30	73	26	11	47	18	28	11	40
MSTRG.469	7	7	8	16	13	5	14	3	14	14
MSTRG.470	6	7	8	2	3	0	2	0	2	3
MSTRG.471	0	0	0	0	3	0	0	0	0	14
MSTRG.472	29	48	71	67	26	38	81	25	45	38
MSTRG.473	0	0	0	5	17	0	0	0	1	1
MSTRG.474	13	30	69	89	314	71	375	411	405	2522
MSTRG.476	15	17	51	27	32	30	45	10	20	29
MSTRG.477	0	3	0	1	1	3	4	3	3	2
MSTRG.478	33	30	27	29	46	38	20	21	27	58
MSTRG.479	0	0	1	0	0	0	0	0	0	0
MSTRG.480	1	3	2	3	4	2	2	3	2	1
MSTRG.481	1803	1717	1463	1746	1885	2417	1770	1318	1949	3271
MSTRG.482	78	183	481	1190	3872	22	25	77	147	158
MSTRG.483	449	353	231	312	222	537	338	299	406	462
MSTRG.484	336	321	278	355	365	341	322	281	380	668
MSTRG.485	1954	1314	937	852	535	2545	1360	566	826	433
MSTRG.486	0	1	2	0	1	1	2	0	0	0
MSTRG.487	2	4	9	2	4	3	3	27	6	9
MSTRG.488	4	5	2	1	2	1	2	0	0	2
MSTRG.489	702	889	698	1012	2294	927	826	808	1131	2625
MSTRG.490	29	17	27	13	7	23	22	17	34	36
MSTRG.491	1076	1145	1973	2179	2112	1416	1818	1396	2681	4015
MSTRG.493	1	1	0	0	3	3	0	0	0	3
MSTRG.494	911	642	760	801	507	529	481	583	515	304
MSTRG.495	181	120	100	117	63	169	105	95	120	116
MSTRG.496	3	5	9	4	10	6	6	0	2	8
MSTRG.497	0	0	0	0	0	0	3	0	0	0
MSTRG.498	0	1	1	2	1	1	0	1	1	1
MSTRG.499	1	1	0	0	0	0	0	0	1	3
MSTRG.500	0	0	1	4	6	0	0	1	2	3
MSTRG.501	45	60	187	443	4355	52	87	85	187	2938
MSTRG.502	0	0	0	0	3	0	0	0	0	1
MSTRG.503	1726	1407	1224	1380	903	2442	1491	925	1404	1258
MSTRG.504	4	3	6	2	1	2	3	1	2	4
MSTRG.505	50	54	70	82	66	54	69	77	137	84
MSTRG.506	0	0	0	0	0	0	0	0	1	0
MSTRG.507	0	0	1	0	0	0	0	0	0	0
MSTRG.508	13	8	8	13	13	14	14	10	16	8
MSTRG.509	0	0	0	0	0	1	0	0	0	0
MSTRG.510	4385	3723	3221	2950	1199	3208	3143	3948	2326	1034
MSTRG.512	882	718	637	650	955	1038	818	321	794	1501
MSTRG.514	914	609	668	625	384	837	541	620	549	398
MSTRG.515	1108	1678	2879	3897	5692	2190	2932	4834	5730	3052
MSTRG.516	0	0	1	2	2	0	0	1	0	0
MSTRG.517	0	0	6	1	4	0	0	2	0	1
MSTRG.518	62	88	102	181	246	198	185	257	276	273
MSTRG.520	649	495	507	482	537	570	597	346	606	873
MSTRG.522	2	0	2	0	0	4	0	0	1	2
MSTRG.523	155	131	111	100	68	98	138	131	149	64
MSTRG.524	485	454	222	184	58	248	321	261	200	65
MSTRG.525	0	0	0	3	2	0	1	1	0	0
MSTRG.526	58	39	90	71	184	48	73	41	48	521
MSTRG.527	0	0	0	0	2	0	0	0	0	0
MSTRG.528	159	209	200	212	174	134	176	205	211	96
MSTRG.529	25	31	41	21	43	11	40	21	20	13
MSTRG.530	3	4	4	0	2	7	17	5	14	3
MSTRG.531	52	67	154	63	37	148	251	36	152	76
MSTRG.532	0	0	0	0	0	1	0	0	0	0
MSTRG.534	1243	1099	962	1178	2271	1455	1108	1617	1442	2819
MSTRG.535	224	168	110	107	137	206	124	105	85	164
MSTRG.536	1	1	2	1	1	0	5	0	0	1
MSTRG.537	20	13	44	49	74	25	24	24	40	60
MSTRG.538	601	431	652	722	842	471	409	878	662	693
MSTRG.541	106	108	163	176	645	161	197	150	286	560
MSTRG.542	1521	1221	1082	873	485	955	974	984	765	316
MSTRG.543	115	54	17	17	1	2	0	5	0	0
MSTRG.544	23	25	23	43	40	0	7	2	6	0
MSTRG.545	8	11	13	1	0	15	18	3	0	1
MSTRG.546	16	8	16	3	3	39	15	24	4	5
MSTRG.547	1	0	0	0	2	0	0	1	0	1
MSTRG.548	2578	2598	3426	3632	3198	2499	2161	2110	1961	3661
